title,datetime,link
Chief Executive of Audio Firm Sonos Steps Down,2017-01-10 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTcvMDEvMTAvYnVzaW5lc3Mvc29ub3Mtam9obi1tYWNmYXJsYW5lLWNlby5odG1s0gFOaHR0cHM6Ly93d3cubnl0aW1lcy5jb20vMjAxNy8wMS8xMC9idXNpbmVzcy9zb25vcy1qb2huLW1hY2ZhcmxhbmUtY2VvLmFtcC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
"Just As The Smart Speaker Craze Starts To Take Off, Sonos CEO Resigns",2017-01-10 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvYWFyb250aWxsZXkvMjAxNy8wMS8xMC9qdXN0LWFzLXRoZS1zbWFydC1zcGVha2VyLWNyYXplLXN0YXJ0cy10by10YWtlLW9mZi1zb25vcy1jZW8tcmVzaWducy_SAX1odHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2Fhcm9udGlsbGV5LzIwMTcvMDEvMTAvanVzdC1hcy10aGUtc21hcnQtc3BlYWtlci1jcmF6ZS1zdGFydHMtdG8tdGFrZS1vZmYtc29ub3MtY2VvLXJlc2lnbnMvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
"After 14 years, Sonos CEO John MacFarlane steps down from the company he helped found",2017-01-10 00:00:00,https://news.google.com/./articles/CBMiLGh0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAxNy8wMS8xMC9zb25vcy1jZW8v0gEwaHR0cHM6Ly90ZWNoY3J1bmNoLmNvbS8yMDE3LzAxLzEwL3Nvbm9zLWNlby9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Sonos Tidal: REVIEW,2017-01-23 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vc29ub3Mtd2l0aC10aWRhbC1iZXN0LWF1ZGlvLXNldHVwLTIwMTYtOdIBTGh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vc29ub3Mtd2l0aC10aWRhbC1iZXN0LWF1ZGlvLXNldHVwLTIwMTYtOT9hbXA?hl=en-US&gl=US&ceid=US%3Aen
"New Sonos CEO Patrick Spence on Taking the Reigns, Voice ...",2017-01-17 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3LmJpbGxib2FyZC5jb20vcHJvL25ldy1zb25vcy1jZW8tcGF0cmljay1zcGVuY2UtaW50ZXJ2aWV3L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
New Sonos CEO Raises Possibility of IPO for Retail Expansion,2017-01-20 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vdmFyaWV0eS5jb20vMjAxNy9kaWdpdGFsL25ld3Mvc29ub3MtaXBvLXBvc3NpYmxlLW5ldy1zdG9yZXMtMTIwMTk2NTA3OC_SAVNodHRwczovL3ZhcmlldHkuY29tLzIwMTcvZGlnaXRhbC9uZXdzL3Nvbm9zLWlwby1wb3NzaWJsZS1uZXctc3RvcmVzLTEyMDE5NjUwNzgvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Altec Lansing's SmartStream speakers are another Sonos alternative,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmVuZ2FkZ2V0LmNvbS8yMDE3LTAxLTAzLWFsdGVjLWxhbnNpbmctc21hcnRzdHJlYW0tc3BlYWtlcnMtbXVsdGlyb29tLWF1ZGlvLmh0bWzSAV9odHRwczovL3d3dy5lbmdhZGdldC5jb20vYW1wLzIwMTctMDEtMDMtYWx0ZWMtbGFuc2luZy1zbWFydHN0cmVhbS1zcGVha2Vycy1tdWx0aXJvb20tYXVkaW8uaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Arcam rPlay Streaming DAC,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiPWh0dHBzOi8vd3d3LnN0ZXJlb3BoaWxlLmNvbS9jb250ZW50L2FyY2FtLXJwbGF5LXN0cmVhbWluZy1kYWPSAQA?hl=en-US&gl=US&ceid=US%3Aen
These ambulances can alert drivers of their approach by interrupting ...,2017-01-16 00:00:00,https://news.google.com/./articles/CBMiOmh0dHBzOi8vd3d3LmRpZ2l0YWx0cmVuZHMuY29tL2NhcnMvYW1idWxhbmNlLWRyaXZlci1hbGVydC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Google Home support coming to LG's Music Flow speakers,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LmVuZ2FkZ2V0LmNvbS8yMDE3LTAxLTE5LWdvb2dsZS1ob21lLXN1cHBvcnQtY29taW5nLXRvLWxncy1tdXNpYy1mbG93LXNwZWFrZXJzLmh0bWzSAWJodHRwczovL3d3dy5lbmdhZGdldC5jb20vYW1wLzIwMTctMDEtMTktZ29vZ2xlLWhvbWUtc3VwcG9ydC1jb21pbmctdG8tbGdzLW11c2ljLWZsb3ctc3BlYWtlcnMuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
"Get a sleek, ultra-thin Asus ZenBook Flip for just $500",2017-01-09 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vcmV2aWV3ZWQudXNhdG9kYXkuY29tL2xhcHRvcHMvbmV3cy9nZXQtYS1zbGVlay11bHRyYS10aGluLTItaW4tMS1mb3ItanVzdC01MDDSAQA?hl=en-US&gl=US&ceid=US%3Aen
The 2017 Detroit Auto Show in pictures,2017-01-15 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDE3LzEvMTUvMTQyNjI5NjYvZGV0cm9pdC1hdXRvLXNob3ctZm9yZC1mdXNpb24tZ3QtdG95b3RhLWNhbXJ5LTIwMTjSAQA?hl=en-US&gl=US&ceid=US%3Aen
Call me Sir: Ruark Audio's R4-30 is all class,2017-01-17 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3LmRpZ2l0YWx0cmVuZHMuY29tL2hvbWUtdGhlYXRlci9ydWFyay1hdWRpby1yNC0zMC1maXJzdC10YWtlLXJldmlldy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
#DeleteUber exposes Uber's serious loyalty problem,2017-01-30 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDE3LzEvMzAvMTQ0Mzg1MjYvdWJlci1kZWxldGV1YmVyLXRydW1wLWltbWlncmF0aW9uLWJhbi10cmF2aXMta2FsYW5pY2vSAQA?hl=en-US&gl=US&ceid=US%3Aen
First Trailer for Sion Sono's 'Anti-Porno' Opens a Window to Erotic ...,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vdGhlZmlsbXN0YWdlLmNvbS9maXJzdC10cmFpbGVyLWZvci1zaW9uLXNvbm9zLWFudGktcG9ybm8tb3BlbnMtYS13aW5kb3ctdG8tZXJvdGljLWZhbnRhc2llcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
This disassembled Aston Martin DB11 engine is engineering ...,2017-01-15 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDE3LzEvMTUvMTQyNzQzNDIvYXN0b24tbWFydGluLWRiMTEtZW5naW5lLXYxMi1wYXJ0cy1waG90b9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Mass Fidelity Core review,2017-01-25 00:00:00,https://news.google.com/./articles/CBMiNGh0dHBzOi8vd3d3LnRlY2hyYWRhci5jb20vcmV2aWV3cy9tYXNzLWZpZGVsaXR5LWNvcmXSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Sony's Unveils Latest Audiophile Headphones, Amplifier, and ...",2017-01-07 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmRpZ2l0YWx0cmVuZHMuY29tL2hvbWUtdGhlYXRlci9zb255LWhpLXJlcy1udy13bjF6LXdhbGttYW4tbWRyLXoxci1oZWFkcGhvbmVzLXR6LXpoMWVzLWFtcC1jZXMtMjAxNy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Escape the cubicle: 5 Chicago offices you'll want to work at,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiN2h0dHBzOi8vd3d3LmJ1aWx0aW5jaGljYWdvLm9yZy8yMDE3LzAxLzI2L29mZmljZS1zcGFjZXPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Whirlpool releases an all-in-one washer and dryer combo,2017-01-05 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vcmV2aWV3ZWQudXNhdG9kYXkuY29tL2xhdW5kcnkvbmV3cy90aGlzLW1hZ2ljLXdhc2hpbmctbWFjaGluZS1hbHNvLWRyaWVzLWNsb3RoZXMtYW5kLW9yZGVycy1kZXRlcmdlbnTSAQA?hl=en-US&gl=US&ceid=US%3Aen
Hands on: BeoPlay M5 review,2017-01-07 00:00:00,https://news.google.com/./articles/CBMiLGh0dHBzOi8vd3d3LnRlY2hyYWRhci5jb20vcmV2aWV3cy9iZW9wbGF5LW010gEA?hl=en-US&gl=US&ceid=US%3Aen
Hyperloop One wants to help your self-driving car go the speed of ...,2017-01-23 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDE3LzEvMjMvMTQzMTQ5ODYvaHlwZXJsb29wLW9uZS1zZWxmLWRyaXZpbmctY2FyLWdsb2JhbC1jaGFsbGVuZ2UtbmV2YWRhLXRlc3TSAQA?hl=en-US&gl=US&ceid=US%3Aen
Sevenhugs made a smart remote that's truly universal,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LmVuZ2FkZ2V0LmNvbS8yMDE3LTAxLTAzLXNldmVuaHVncy1tYWRlLWEtc21hcnQtcmVtb3RlLXRoYXRzLXRydWx5LXVuaXZlcnNhbC5odG1s0gFgaHR0cHM6Ly93d3cuZW5nYWRnZXQuY29tL2FtcC8yMDE3LTAxLTAzLXNldmVuaHVncy1tYWRlLWEtc21hcnQtcmVtb3RlLXRoYXRzLXRydWx5LXVuaXZlcnNhbC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Simaudio Moon 888 mono amplifiers: Our first take,2017-01-11 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LmRpZ2l0YWx0cmVuZHMuY29tL2hvbWUtdGhlYXRlci9zaW1hdWRpby1tb29uLTg4OC1tb25vLWFtcGxpZmllci1jZXMtMjAxNy_SAVlodHRwczovL3d3dy5kaWdpdGFsdHJlbmRzLmNvbS9ob21lLXRoZWF0ZXIvc2ltYXVkaW8tbW9vbi04ODgtbW9uby1hbXBsaWZpZXItY2VzLTIwMTcvP2FtcA?hl=en-US&gl=US&ceid=US%3Aen
Watch Mythbuster Adam Savage Turn a Leaf Blower Into a Ping ...,2017-01-30 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LnBvcHVsYXJtZWNoYW5pY3MuY29tL3RlY2hub2xvZ3kvZ2FkZ2V0cy9hMjQ5NjYvYWRhbS1zYXZhZ2UtcGluZy1wb25nLWxlYWYtYmxvd2VyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
The M5 wireless speaker by B and O play costs £529,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiO2h0dHBzOi8vd3d3LndpcmVkLmNvLnVrL2FydGljbGUvYm8tcGxheS1tNS13aXJlbGVzcy1zcGVha2Vy0gEA?hl=en-US&gl=US&ceid=US%3Aen
Chirp lets computers talk to each other with electronic birdsong,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDE3LzEvMjYvMTQzOTgyNTAvYXVkaW8tb3Zlci1kYXRhLWNoaXJwLWlvdC1pbnRlcm5ldC1vZi10aGluZ3PSAQA?hl=en-US&gl=US&ceid=US%3Aen
