title,datetime,link
Andrew Garfield gave Emma Stone a supportive standing ovation during her Golden Globes win,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hbmRyZXctZ2FyZmllbGQtZ2F2ZS1lbW1hLXN0b25lLTIwMDMxNTM0Ni5odG1s0gFVaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvYW5kcmV3LWdhcmZpZWxkLWdhdmUtZW1tYS1zdG9uZS0yMDAzMTUzNDYuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Reversal Pattern Trading - Strategies to Profit from a Reversal,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvcmV2ZXJzYWwtcGF0dGVybi10cmFkaW5nLXN0cmF0ZWdpZXMtcHJvZml0LXJldmVyc2FsLTIwMTctMDEtMDTSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Surmodics raises guidance, beats Q1 earnings",2017-02-02 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vd3d3Lm1hc3NkZXZpY2UuY29tL3N1cm1vZGljcy1yYWlzZXMtZ3VpZGFuY2UtYmVhdHMtcTEtZWFybmluZ3Mv0gEA?hl=en-US&gl=US&ceid=US%3Aen
PathMaker Neurosystems wins BpiFrance grant to support ...,2017-02-15 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3Lm1hc3NkZXZpY2UuY29tL3BhdGhtYWtlci1uZXVyb3N5c3RlbXMtd2lucy1icGlmcmFuY2UtZ3JhbnQtc3VwcG9ydC1teW9yZWd1bGF0b3ItY2xpbmljYWwtZGV2L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
BRIEF-Staar Surgical Q4 adjusted earnings per share $0.02,2017-03-02 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvYnJpZWYtc3RhYXItc3VyZ2ljYWwtcTQtYWRqdXN0ZWQtZWFybmluZy1pZFVTQVNCMEIzSjXSAQA?hl=en-US&gl=US&ceid=US%3Aen
FactSet Acquires Financial Analytics Firm BISAM for $205.2M,2017-03-21 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvZmFjdHNldC1hY3F1aXJlcy1maW5hbmNpYWwtYW5hbHl0aWNzLWZpcm0tYmlzYW0tZm9yLSQyMDUuMm0tMjAxNy0wMy0yMdIBAA?hl=en-US&gl=US&ceid=US%3Aen
PEG Ratio vs. the P/E Ratio,2017-03-21 00:00:00,https://news.google.com/./articles/CBMiQGh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvcGVnLXJhdGlvLXZzLXBlLXJhdGlvLTIwMTctMDMtMjHSAQA?hl=en-US&gl=US&ceid=US%3Aen
Best and Worst Walk-Behind Lawn Mowers,2017-03-16 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9iZXN0LXdvcnN0LXdhbGstYmVoaW5kLWxhd24tMjE1MjUzMDMxLmh0bWzSAVFodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9iZXN0LXdvcnN0LXdhbGstYmVoaW5kLWxhd24tMjE1MjUzMDMxLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Forex Education: Trade With Market Sentiment,2017-03-07 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvZm9yZXgtZWR1Y2F0aW9uLXRyYWRlLW1hcmtldC1zZW50aW1lbnQtMjAxNy0wMy0wN9IBAA?hl=en-US&gl=US&ceid=US%3Aen
New Excel Peter Lynch Chart Template Is Released,2017-03-24 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvbmV3LWV4Y2VsLXBldGVyLWx5bmNoLWNoYXJ0LXRlbXBsYXRlLXJlbGVhc2VkLTIwMTctMDMtMjTSAQA?hl=en-US&gl=US&ceid=US%3Aen
BRIEF-Stephen Brown notifies intention to resign as chief financial ...,2017-04-04 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvYnJpZWYtc3RlcGhlbi1icm93bi1ub3RpZmllcy1pbnRlbnRpb24tdC1pZFVTRldOMUhDMEpS0gEA?hl=en-US&gl=US&ceid=US%3Aen
Oasis Systems Acquires Human Solutions Incorporated,2017-04-10 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9vYXNpcy1zeXN0ZW1zLWFjcXVpcmVzLWh1bWFuLXNvbHV0aW9ucy0xNjI1MDA0MTcuaHRtbNIBXGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL29hc2lzLXN5c3RlbXMtYWNxdWlyZXMtaHVtYW4tc29sdXRpb25zLTE2MjUwMDQxNy5odG1s?hl=en-US&gl=US&ceid=US%3Aen
3 Drone Stocks to Buy Now,2017-04-05 00:00:00,https://news.google.com/./articles/CBMiQWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvMy1kcm9uZS1zdG9ja3MtYnV5LW5vdy0yMDE3LTA0LTA10gEA?hl=en-US&gl=US&ceid=US%3Aen
Bear of the Day: American Railcar (ARII),2017-04-18 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvYmVhci1kYXktYW1lcmljYW4tcmFpbGNhci1hcmlpLTIwMTctMDQtMTjSAQA?hl=en-US&gl=US&ceid=US%3Aen
10 Ways To Transform Your Business Image,2017-04-05 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvMTAtd2F5cy10by10cmFuc2Zvcm0teW91ci1idXNpbmVzcy1pbWFnZS0yMDE3LTA0LTA10gEA?hl=en-US&gl=US&ceid=US%3Aen
Understanding And Employing Correlation Analysis In Your FX ...,2017-04-14 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvdW5kZXJzdGFuZGluZy1hbmQtZW1wbG95aW5nLWNvcnJlbGF0aW9uLWFuYWx5c2lzLXlvdXItZngtdHJhZGluZy0yMDE3LTA0LTE00gEA?hl=en-US&gl=US&ceid=US%3Aen
"Which Is More Important, Technical Or Fundamental Analysis?",2017-04-05 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvd2hpY2gtbW9yZS1pbXBvcnRhbnQtdGVjaG5pY2FsLW9yLWZ1bmRhbWVudGFsLWFuYWx5c2lzLTIwMTctMDQtMDXSAQA?hl=en-US&gl=US&ceid=US%3Aen
BRIEF-STAAR Surgical announces CE Mark approval for the EVO+ ...,2017-05-11 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvYnJpZWYtc3RhYXItc3VyZ2ljYWwtYW5ub3VuY2VzLWNlLW1hcmstYS1pZFVTRldOMUlEME4y0gEA?hl=en-US&gl=US&ceid=US%3Aen
China's Peaceful Union buys ClearSight Medical parent Sharklet ...,2017-05-22 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3Lm1hc3NkZXZpY2UuY29tL2NoaW5hcy1wZWFjZWZ1bC11bmlvbi1idXlzLWNsZWFyc2lnaHQtbWVkaWNhbC1wYXJlbnQtc2hhcmtsZXQtdGVjaG5vbG9naWVzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Lumina to Lay Off 58,2017-05-30 00:00:00,https://news.google.com/./articles/CBMiKWh0dHBzOi8vd3d3Lm9jYmouY29tL21lZGlhL2x1bWluYS1sYXktNTgv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Surgical device development: New insights from the operating room,2017-05-08 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vd3d3Lm1hc3NkZXZpY2UuY29tL3N1cmdpY2FsLWRldmljZS1kZXZlbG9wbWVudC1uZXctaW5zaWdodHMtb3BlcmF0aW5nLXJvb20v0gEA?hl=en-US&gl=US&ceid=US%3Aen
Soterix Medical wins FDA 510(k) for IontoDC,2017-05-22 00:00:00,https://news.google.com/./articles/CBMiQWh0dHBzOi8vd3d3Lm1hc3NkZXZpY2UuY29tL3NvdGVyaXgtbWVkaWNhbC13aW5zLWZkYS01MTBrLWlvbnRvZGMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
BioVentrix touts 1st clinical use of Revivent for ischemic ...,2017-05-23 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3Lm1hc3NkZXZpY2UuY29tL2Jpb3ZlbnRyaXgtdG91dHMtMXN0LWNsaW5pY2FsLXVzZS1yZXZpdmVudC1pc2NoZW1pYy1jYXJkaW9teW9wYXRoeS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
NeoTract touts 5-year UroLift study data,2017-05-16 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3Lm1hc3NkZXZpY2UuY29tL25lb3RyYWN0LXRvdXRzLTUteWVhci11cm9saWZ0LXN0dWR5LWRhdGEv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Sanuwave Health taps Lithomed as Taiwanese ortho distributor,2017-05-25 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3Lm1hc3NkZXZpY2UuY29tL3NhbnV3YXZlLWhlYWx0aC10YXBzLWxpdGhvbWVkLXRhaXdhbmVzZS1vcnRoby1kaXN0cmlidXRvci_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"15 universities, colleges and trade schools in Collin and Denton ...",2017-05-25 00:00:00,https://news.google.com/./articles/CBMifmh0dHBzOi8vY29tbXVuaXR5aW1wYWN0LmNvbS9kYWxsYXMtZm9ydC13b3J0aC9ndWlkZXMvMjAxNy8wNS8yNS8xNS11bml2ZXJzaXRpZXMtY29sbGVnZXMtdHJhZGUtc2Nob29scy1jb2xsaW4tZGVudG9uLWNvdW50aWVzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Happy National Selfie Day: Celebrity Selfies That Will Make You Smile, Cringe or Gasp",2017-06-20 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LmVvbmxpbmUuY29tL25ld3MvODYyMzk2L2hhcHB5LW5hdGlvbmFsLXNlbGZpZS1kYXktY2VsZWJyaXR5LXNlbGZpZXMtdGhhdC13aWxsLW1ha2UteW91LXNtaWxlLWNyaW5nZS1vci1nYXNw0gF7aHR0cHM6Ly93d3cuZW9ubGluZS5jb20vYW1wL25ld3MvODYyMzk2L2hhcHB5LW5hdGlvbmFsLXNlbGZpZS1kYXktY2VsZWJyaXR5LXNlbGZpZXMtdGhhdC13aWxsLW1ha2UteW91LXNtaWxlLWNyaW5nZS1vci1nYXNw?hl=en-US&gl=US&ceid=US%3Aen
Johnson & Johnson closes $30B Actelion buyout,2017-06-16 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3Lm1hc3NkZXZpY2UuY29tL2pvaG5zb24tam9obnNvbi1jbG9zZXMtMzBiLWFjdGVsaW9uLWJ1eW91dC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
5 Biomedical Stocks That Are Expected To Surge,2017-06-27 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvNS1iaW9tZWRpY2FsLXN0b2Nrcy1hcmUtZXhwZWN0ZWQtc3VyZ2UtMjAxNy0wNi0yN9IBAA?hl=en-US&gl=US&ceid=US%3Aen
