title,datetime,link
"Sign the Statement: Truth Seeking, Democracy, and Freedom of ...",2017-03-14 00:00:00,https://news.google.com/./articles/CBMiI2h0dHBzOi8vam1wLnByaW5jZXRvbi5lZHUvc3RhdGVtZW500gEA?hl=en-US&gl=US&ceid=US%3Aen
Bryn Mawr Trust Appoints Patrick Killeen As Chief Risk Officer and ...,2017-06-15 00:00:00,https://news.google.com/./articles/CBMivAFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAxNy8wNi8xNS8xMDI1MTQwLzAvZW4vQnJ5bi1NYXdyLVRydXN0LUFwcG9pbnRzLVBhdHJpY2stS2lsbGVlbi1Bcy1DaGllZi1SaXNrLU9mZmljZXItYW5kLVNlbmlvci1WaWNlLVByZXNpZGVudC1PZi1SaXNrLU1hbmFnZW1lbnQtRGl2aXNpb24uaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Photo Release -- WSFS Announces Promotions in Risk ...,2017-07-12 00:00:00,https://news.google.com/./articles/CBMikQFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAxNy8wNy8xMi8xMDQzMjE3LzkxMzAvZW4vUGhvdG8tUmVsZWFzZS1XU0ZTLUFubm91bmNlcy1Qcm9tb3Rpb25zLWluLVJpc2stTWFuYWdlbWVudC1EaXZpc2lvbi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
WSFS Announces Formation of Christiana Trust Company of ...,2017-11-02 00:00:00,https://news.google.com/./articles/CBMiiAFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAxNy8xMS8wMi8xMTczNzcyLzAvZW4vV1NGUy1Bbm5vdW5jZXMtRm9ybWF0aW9uLW9mLUNocmlzdGlhbmEtVHJ1c3QtQ29tcGFueS1vZi1EZWxhd2FyZS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Updated: M&T Bank CEO Robert Wilmers, 83",2017-12-18 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vZGVsYXdhcmVidXNpbmVzc25vdy5jb20vMjAxNy8xMi9tdC1iYW5rLWNlby1yb2JlcnQtd2lsbWVycy04My_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Young Jewish Presidents to Host CEO Growth and Innovation ...,2018-05-23 00:00:00,https://news.google.com/./articles/CBMijwFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAxOC8wNS8yMy8xNTEwODk1LzAvZW4vWW91bmctSmV3aXNoLVByZXNpZGVudHMtdG8tSG9zdC1DRU8tR3Jvd3RoLWFuZC1Jbm5vdmF0aW9uLUNvbmZlcmVuY2UuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Photo Release -- WSFS Bank Announces a New Commercial Real ...,2018-06-11 00:00:00,https://news.google.com/./articles/CBMinAFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAxOC8wNi8xMS8xNTE5ODYwLzkxMzAvZW4vUGhvdG8tUmVsZWFzZS1XU0ZTLUJhbmstQW5ub3VuY2VzLWEtTmV3LUNvbW1lcmNpYWwtUmVhbC1Fc3RhdGUtTGVhZGVyc2hpcC1UZWFtLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Top workplaces: WSFS employees value company culture of service,2018-08-21 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmRlbGF3YXJlb25saW5lLmNvbS9zdG9yeS9uZXdzL2xvY2FsLzIwMTgvMDgvMjEvd3Nmcy1lbXBsb3llZXMtdmFsdWUtY29tcGFueS1jdWx0dXJlLXNlcnZpY2UvOTI2MjAzMDAyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Assets managed under WSFS division Cypress Capital reach $1 billion,2018-11-15 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vZGVsYXdhcmVidXNpbmVzc3RpbWVzLmNvbS9uZXdzL2Fzc2V0cy1tYW5hZ2VkLXVuZGVyLXdzZnMtZGl2aXNpb24tY3lwcmVzcy1jYXBpdGFsLXJlYWNoLTEtYmlsbGlvbi_SAW5odHRwczovL2RlbGF3YXJlYnVzaW5lc3N0aW1lcy5jb20vbmV3cy9hc3NldHMtbWFuYWdlZC11bmRlci13c2ZzLWRpdmlzaW9uLWN5cHJlc3MtY2FwaXRhbC1yZWFjaC0xLWJpbGxpb24vYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
WSFS and Beneficial plan to close 25 retail banking locations,2018-12-18 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vZGVsYXdhcmVidXNpbmVzc3RpbWVzLmNvbS9uZXdzL3dzZnMtYW5kLWJlbmVmaWNpYWwtcGxhbi10by1jbG9zZS0yNS1yZXRhaWwtYmFua2luZy1sb2NhdGlvbnMv0gFpaHR0cHM6Ly9kZWxhd2FyZWJ1c2luZXNzdGltZXMuY29tL25ld3Mvd3Nmcy1hbmQtYmVuZWZpY2lhbC1wbGFuLXRvLWNsb3NlLTI1LXJldGFpbC1iYW5raW5nLWxvY2F0aW9ucy9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Tech Air acquires Scully Welding Supply and Propane Service ...,2018-12-06 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vcGVubmJpenJlcG9ydC5jb20vbmV3cy8xMTU0Ni10ZWNoLWFpci1hY3F1aXJlcy1zY3VsbHktd2VsZGluZy1zdXBwbHktYW5kLXByb3BhbmUtc2VydmljZS_SAWFodHRwczovL3Blbm5iaXpyZXBvcnQuY29tL25ld3MvMTE1NDYtdGVjaC1haXItYWNxdWlyZXMtc2N1bGx5LXdlbGRpbmctc3VwcGx5LWFuZC1wcm9wYW5lLXNlcnZpY2Uv?hl=en-US&gl=US&ceid=US%3Aen
Bank Notes: Univest rebrands wealth unit under the Girard name ...,2019-01-21 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9waGlsYWRlbHBoaWEvbmV3cy8yMDE5LzAxLzIxL2Jhbmstbm90ZXMtdW5pdmVzdC1yZWJyYW5kcy13ZWFsdGgtdW5pdC11bmRlci10aGUuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
