title,datetime,link
Intel says flawed EU antitrust decision underpins $1.2 billion fine,2020-03-10 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdWstZXUtaW50ZWwtYW50aXRydXN0LWlkVUtLQk4yMFgxSlDSAQA?hl=en-US&gl=US&ceid=US%3Aen
Alberta health care workers stage wildcat strike in opposition to job ...,2020-10-27 00:00:00,https://news.google.com/./articles/CBMiOWh0dHBzOi8vd3d3Lndzd3Mub3JnL2VuL2FydGljbGVzLzIwMjAvMTAvMjgvYWxoYy1vMjguaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Clover rises after Chamath Palihapitiya rebukes Hindenburg,2021-02-05 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9uZXdzLzM2NTkyNDItY2xvdmVyLXNoYXJlcy1yaXNlLWFmdGVyLWNoYW1hdGgtcGFsaWhhcGl0aXlhLXJlc3BvbmRzLXRvLWhpbmRlbmJ1cmctcmVwb3J00gEA?hl=en-US&gl=US&ceid=US%3Aen
Alignment Healthcare expects $3.6B IPO as rival Oscar Health sinks,2021-03-18 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9uZXdzLzM2NzQxNDQtYWxpZ25tZW50LWhlYWx0aGNhcmUtdW52ZWlscy1pcG8tdGVybXMtZXZlbi1hcy1yaXZhbC1pbnN1cnRlY2gtb3NjYXItaGVhbHRoLXNpbmtz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Alignment Healthcare Announces Pricing of Initial Public Offering,2021-03-25 00:00:00,https://news.google.com/./articles/CBMiiQFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAyMS8wMy8yNi8yMTk5ODEyLzAvZW4vQWxpZ25tZW50LUhlYWx0aGNhcmUtQW5ub3VuY2VzLVByaWNpbmctb2YtSW5pdGlhbC1QdWJsaWMtT2ZmZXJpbmcuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Alignment Healthcare Launches IPO To Grow Medicare Advantage Line,2021-03-26 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvYnJ1Y2VqYXBzZW4vMjAyMS8wMy8yNi9tZWRpY2FyZS1hZHZhbnRhZ2UtcGxhbi1hbGlnbm1lbnQtaGVhbHRoY2FyZS1sYXVuY2hlcy1pcG8v0gFyaHR0cHM6Ly93d3cuZm9yYmVzLmNvbS9zaXRlcy9icnVjZWphcHNlbi8yMDIxLzAzLzI2L21lZGljYXJlLWFkdmFudGFnZS1wbGFuLWFsaWdubWVudC1oZWFsdGhjYXJlLWxhdW5jaGVzLWlwby9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Alignment Healthcare Announces Filing of Registration Statement ...,2021-03-03 00:00:00,https://news.google.com/./articles/CBMinQFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIxMDMwMzAwNTk2MC9lbi9BbGlnbm1lbnQtSGVhbHRoY2FyZS1Bbm5vdW5jZXMtRmlsaW5nLW9mLVJlZ2lzdHJhdGlvbi1TdGF0ZW1lbnQtZm9yLVByb3Bvc2VkLUluaXRpYWwtUHVibGljLU9mZmVyaW5n0gEA?hl=en-US&gl=US&ceid=US%3Aen
5 things to know about Alignment Healthcare's proposed IPO,2021-03-05 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3Lm1vZGVybmhlYWx0aGNhcmUuY29tL2luc3VyYW5jZS81LXRoaW5ncy1rbm93LWFib3V0LWFsaWdubWVudC1oZWFsdGhjYXJlcy1wcm9wb3NlZC1pcG_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Clover Health: Run for the Hills, Says Bank of America",2021-06-11 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9jbG92ZXItaGVhbHRoLXN0b2NrLXByaWNlLXZhbHVhdGlvbi0xOTM1MzY3MjEuaHRtbNIBWWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2Nsb3Zlci1oZWFsdGgtc3RvY2stcHJpY2UtdmFsdWF0aW9uLTE5MzUzNjcyMS5odG1s?hl=en-US&gl=US&ceid=US%3Aen
"Alignment Healthcare Expands Its Footprint in Nevada, Adding Two ...",2021-06-17 00:00:00,https://news.google.com/./articles/CBMinwFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAyMS8wNi8xNy8yMjQ4OTIzLzAvZW4vQWxpZ25tZW50LUhlYWx0aGNhcmUtRXhwYW5kcy1JdHMtRm9vdHByaW50LWluLU5ldmFkYS1BZGRpbmctVHdvLU5ldy1Db3VudGllcy1pbi0yMDIyLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Alignment Healthcare to Participate in Upcoming Investor Conference,2021-06-08 00:00:00,https://news.google.com/./articles/CBMijgFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAyMS8wNi8wOC8yMjQ0MDEyLzAvZW4vQWxpZ25tZW50LUhlYWx0aGNhcmUtdG8tUGFydGljaXBhdGUtaW4tVXBjb21pbmctSW52ZXN0b3ItQ29uZmVyZW5jZS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Healthcare Stocks Are Bargains Now,2021-06-24 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LmtpcGxpbmdlci5jb20vaW52ZXN0aW5nL3N0b2Nrcy82MDI5OTAvaGVhbHRoY2FyZS1zdG9ja3MtYXJlLWJhcmdhaW5zLW5vd9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Clear Secure Stock (NYSE:YOU), Analyst Ratings, Price Targets ...",2021-06-26 00:00:00,https://news.google.com/./articles/CBMiMmh0dHBzOi8vd3d3LmJlbnppbmdhLmNvbS9xdW90ZS9ZT1UvYW5hbHlzdC1yYXRpbmdz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Alignment Health Plan Enters Arizona Via Agreement with Arizona ...,2021-07-27 00:00:00,https://news.google.com/./articles/CBMilAFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAyMS8wNy8yNy8yMjY5MzkxLzAvZW4vQWxpZ25tZW50LUhlYWx0aC1QbGFuLUVudGVycy1Bcml6b25hLVZpYS1BZ3JlZW1lbnQtd2l0aC1Bcml6b25hLUNhcmUtTmV0d29yay5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
