title,datetime,link
AvidXchange IPO: Not Too Compelled With AVDX Stock,2021-10-17 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ0NjAyODYtYXZpZHhjaGFuZ2UtaG9sZGluZ3Mtbm90LXRvby1jb21wZWxsZWTSAQA?hl=en-US&gl=US&ceid=US%3Aen
AvidXchange raised $660 million as upsized IPO priced at the top of the expected range,2021-10-13 00:00:00,https://news.google.com/./articles/CBMigwFodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vc3RvcnkvYXZpZHhjaGFuZ2VyLXJhaXNlZC02NjAtbWlsbGlvbi1hcy11cHNpemVkLWlwby1wcmljZWQtYXQtdGhlLXRvcC1vZi10aGUtZXhwZWN0ZWQtcmFuZ2UtMjAyMS0xMC0xM9IBhwFodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vYW1wL3N0b3J5L2F2aWR4Y2hhbmdlci1yYWlzZWQtNjYwLW1pbGxpb24tYXMtdXBzaXplZC1pcG8tcHJpY2VkLWF0LXRoZS10b3Atb2YtdGhlLWV4cGVjdGVkLXJhbmdlLTIwMjEtMTAtMTM?hl=en-US&gl=US&ceid=US%3Aen
Payments firm AvidXchange files for U.S. IPO,2021-10-04 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL2xlZ2FsL3RyYW5zYWN0aW9uYWwvdGhpZWwtYmFja2VkLXBheW1lbnRzLWZpcm0tYXZpZHhjaGFuZ2UtZmlsZXMtdXMtaXBvLTIwMjEtMTAtMDQv0gEA?hl=en-US&gl=US&ceid=US%3Aen
How AvidXchange's ownership is shaking out after IPO - Charlotte ...,2021-10-18 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9jaGFybG90dGUvbmV3cy8yMDIxLzEwLzE4L2F2aWR4Y2hhbmdlLXN0b2NrLW93bmVyc2hpcC1hZnRlci1pcG8uaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"The Briefing: Mindbody Buys ClassPass, TripActions Lands $275M ...",2021-10-13 00:00:00,https://news.google.com/./articles/CBMiN2h0dHBzOi8vbmV3cy5jcnVuY2hiYXNlLmNvbS9icmllZmluZy9icmllZmluZy0xMC0xMy0yMS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
When a Charlotte unicorn goes public,2021-10-16 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vY2hhcmxvdHRlLmF4aW9zLmNvbS8yNzY1Mjkvd2hlbi1hLWNoYXJsb3R0ZS11bmljb3JuLWdvZXMtcHVibGljL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"LIVE MARKETS-S&P 500, Nasdaq make it 5-straight days of gains ...",2021-10-19 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmxzZS5jby51ay9uZXdzL2xpdmUtbWFya2V0cy1zLWFuZC1wLTUwMC1uYXNkYXEtbWFrZS1pdC01LXN0cmFpZ2h0LWRheXMtb2YtZ2FpbnMtYXp0ZmpjMjRjOWF1cXM5Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
AvidXchange Announces Early IPO Lock-up Release,2021-11-16 00:00:00,https://news.google.com/./articles/CBMifmh0dHBzOi8vd3d3Lmdsb2JlbmV3c3dpcmUuY29tL2VuL25ld3MtcmVsZWFzZS8yMDIxLzExLzE2LzIzMzU4NTgvMzcxNjEvZW4vQXZpZFhjaGFuZ2UtQW5ub3VuY2VzLUVhcmx5LUlQTy1Mb2NrLXVwLVJlbGVhc2UuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
AvidXchange gives employees opportunity to cash out early on IPO,2021-11-18 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3JhbHRlY2h3aXJlLmNvbS8yMDIxLzExLzE4L2F2aWR4Y2hhbmdlLWdpdmVzLWVtcGxveWVlcy1vcHBvcnR1bml0eS10by1jYXNoLW91dC1lYXJseS1vbi1pcG8v0gFraHR0cHM6Ly93cmFsdGVjaHdpcmUuY29tLzIwMjEvMTEvMTgvYXZpZHhjaGFuZ2UtZ2l2ZXMtZW1wbG95ZWVzLW9wcG9ydHVuaXR5LXRvLWNhc2gtb3V0LWVhcmx5LW9uLWlwby8_YW1wPTE?hl=en-US&gl=US&ceid=US%3Aen
"AvidXchange (AVDX): Not An Avid Holder Here, Despite The Sell-Off",2022-01-28 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ0ODI0MzEtYXZpZHhjaGFuZ2UtYXZkeC1zdG9jay1ub3QtYXZpZC1ob2xkZXItZGVzcGl0ZS1zZWxsLW9mZtIBAA?hl=en-US&gl=US&ceid=US%3Aen
"U.S. RESEARCH ROUNDUP Akamai Technologies, Gitlab, RPM ...",2022-01-06 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL21hcmtldHMvZnVuZHMvdXMtcmVzZWFyY2gtcm91bmR1cC1ha2FtYWktdGVjaG5vbG9naWVzLWdpdGxhYi1ycG0taW50ZXJuYXRpb25hbC0yMDIyLTAxLTA2L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Avant Diagnostics Stock Forecast, Price & News (OTCMKTS:AVDX)",2022-03-17 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3Lm1hcmtldGJlYXQuY29tL2luc3RhbnQtYWxlcnRzL290Y21rdHMtYXZkeC1pbnNpZGVyLWJ1eWluZy1hbmQtc2VsbGluZy0yMDIyLTAzLTIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
AvidXchange Announces Fourth Quarter & Full Year 2021 Financial ...,2022-03-07 00:00:00,https://news.google.com/./articles/CBMilAFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAyMi8wMy8wNy8yMzk4MzQ5LzM3MTYxL2VuL0F2aWRYY2hhbmdlLUFubm91bmNlcy1Gb3VydGgtUXVhcnRlci1GdWxsLVllYXItMjAyMS1GaW5hbmNpYWwtUmVzdWx0cy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Charlotte jumped far ahead on IPO activity in NC last year ...,2022-03-25 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9jaGFybG90dGUvbmV3cy8yMDIyLzAzLzI1L21ha2luZy1hLW1hcmtldC1jaGFybG90dGUtbGVhZHMtbmMtaXBvLWFjdGl2aXR5Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Payoneer Global 2022 revenue guidance excludes Russia, Belarus ...",2022-03-03 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9uZXdzLzM4MDkzODktcGF5b25lZXItZ2xvYmFsLTIwMjItZ3VpZGFuY2UtZXhjbHVkZXMtcnVzc2lhLWJlbGFydXMtdWtyYWluZS1yZXZlbnVl0gEA?hl=en-US&gl=US&ceid=US%3Aen
AvidXchange IPO boosts CEO's pay package to $7.9M in 2021,2022-05-02 00:00:00,https://news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9jaGFybG90dGUvaW5uby9zdG9yaWVzL25ld3MvMjAyMi8wNS8wMi9hdmlkeGNoYW5nZS1jZW8tbWljaGFlbC1wcmFlZ2VyLTIwMjEtcGF5LXBhY2thZ2UuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Small Cap Stocks List 2023,2022-08-02 00:00:00,https://news.google.com/./articles/CBMiO2h0dHBzOi8vd3d3Lm1hcmtldGJlYXQuY29tL3R5cGVzLW9mLXN0b2NrL3NtYWxsLWNhcC1zdG9ja3Mv0gEA?hl=en-US&gl=US&ceid=US%3Aen
AvidXchange CEO Michael Praeger on post-IPO strategies ...,2022-06-27 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9jaGFybG90dGUvbmV3cy8yMDIyLzA2LzI3L25ld3NtYWtlci1taWNoYWVsLXByYWVnZXItYXZpZHhjaGFuZ2UuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
AvidXchange CEO Mike Praeger discusses fintech firm's growth ...,2022-06-16 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9jaGFybG90dGUvaW5uby9zdG9yaWVzL25ld3MvMjAyMi8wNi8xNi9taWtlLXByYWVnZXItYXZpZHhjaGFuZ2UtZ2VuZXJhdGlvbnMtY29uZmVyZW5jZS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
AvidXchange on Company Culture and Their Utah Presence,2022-06-03 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vdGVjaGJ1enoubmV3cy9hdmlkeGNoYW5nZS1vbi1jb21wYW55LWN1bHR1cmUtYW5kLXRoZS11dGFoLWh1Yi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
