title,datetime,link
Philip Morris (PM) Expected to Beat Earnings Estimates: Can the ...,2020-01-30 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvcGhpbGlwLW1vcnJpcy1wbS1leHBlY3RlZC10by1iZWF0LWVhcm5pbmdzLWVzdGltYXRlczotY2FuLXRoZS1zdG9jay1tb3ZlLWhpZ2hlci0yMDIwLTAxLTMw0gEA?hl=en-US&gl=US&ceid=US%3Aen
DFAT removes standardized remuneration requirements for ...,2020-02-21 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmRldmV4LmNvbS9uZXdzL2RmYXQtcmVtb3Zlcy1zdGFuZGFyZGl6ZWQtcmVtdW5lcmF0aW9uLXJlcXVpcmVtZW50cy1mb3ItY29udHJhY3RvcnMtOTY2MjHSAWhodHRwczovL3d3dy5kZXZleC5jb20vbmV3cy9kZmF0LXJlbW92ZXMtc3RhbmRhcmRpemVkLXJlbXVuZXJhdGlvbi1yZXF1aXJlbWVudHMtZm9yLWNvbnRyYWN0b3JzLTk2NjIxL2FtcA?hl=en-US&gl=US&ceid=US%3Aen
Kaduna confirms 2nd case of Lassa fever,2020-02-01 00:00:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vd3d3LnZhbmd1YXJkbmdyLmNvbS8yMDIwLzAyL2thZHVuYS1jb25maXJtcy0ybmQtY2FzZS1vZi1sYXNzYS1mZXZlci_SAVBodHRwczovL3d3dy52YW5ndWFyZG5nci5jb20vMjAyMC8wMi9rYWR1bmEtY29uZmlybXMtMm5kLWNhc2Utb2YtbGFzc2EtZmV2ZXIvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Kaduna government confirms new case of Lassa fever,2020-02-22 00:00:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vZ3VhcmRpYW4ubmcvbmV3cy9rYWR1bmEtZ292ZXJubWVudC1jb25maXJtcy1uZXctY2FzZS1vZi1sYXNzYS1mZXZlci_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Students unveil Interim Disability Community Center,2020-03-13 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vc3RhbmZvcmRkYWlseS5jb20vMjAyMC8wMy8xMy9zdHVkZW50cy11bnZlaWwtaW50ZXJpbS1kaXNhYmlsaXR5LWNvbW11bml0eS1jZW50ZXIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
IDCC Answers the Call for Mental Health Care During The COVID ...,2020-04-22 00:00:00,https://news.google.com/./articles/CBMiiQFodHRwczovL3d3dy5zZW5kMnByZXNzLmNvbS93aXJlL2lkY2MtYW5zd2Vycy10aGUtY2FsbC1mb3ItbWVudGFsLWhlYWx0aC1jYXJlLWR1cmluZy10aGUtY292aWQtMTktZW1lcmdlbmN5LXdpdGgtbmV3LXRlbGV0aGVyYXB5LXNlcnZpY2VzL9IBjQFodHRwczovL3d3dy5zZW5kMnByZXNzLmNvbS93aXJlL2lkY2MtYW5zd2Vycy10aGUtY2FsbC1mb3ItbWVudGFsLWhlYWx0aC1jYXJlLWR1cmluZy10aGUtY292aWQtMTktZW1lcmdlbmN5LXdpdGgtbmV3LXRlbGV0aGVyYXB5LXNlcnZpY2VzL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
COVID-19: Kaduna records new case – The Sun Nigeria,2020-04-06 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vd3d3LnN1bm5ld3NvbmxpbmUuY29tL2NvdmlkLTE5LWthZHVuYS1yZWNvcmRzLW5ldy1jYXNlL9IBQ2h0dHBzOi8vd3d3LnN1bm5ld3NvbmxpbmUuY29tL2NvdmlkLTE5LWthZHVuYS1yZWNvcmRzLW5ldy1jYXNlLz9hbXA?hl=en-US&gl=US&ceid=US%3Aen
Why Is Stryker (SYK) Up 5% Since Last Earnings Report?,2020-05-30 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy93aHktc3RyeWtlci1zeWstNS1zaW5jZS0xNTMxMDM0MTIuaHRtbNIBTWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL3doeS1zdHJ5a2VyLXN5ay01LXNpbmNlLTE1MzEwMzQxMi5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Apartment Investment & Management Q1 20 Earnings Conference ...,2020-05-08 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvYXBhcnRtZW50LWludmVzdG1lbnQtbWFuYWdlbWVudC1xMS0yMC1lYXJuaW5ncy1jb25mZXJlbmNlLWNhbGwtYXQtMTowMC1wbS1ldC0yMDIwLTA1LTA40gEA?hl=en-US&gl=US&ceid=US%3Aen
"Despite El-Rufai’s threat, Kaduna health workers commence industrial action",2020-05-23 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LnZhbmd1YXJkbmdyLmNvbS8yMDIwLzA1L2Rlc3BpdGUtZWwtcnVmYWlzLXRocmVhdC1rYWR1bmEtaGVhbHRoLXdvcmtlcnMtY29tbWVuY2UtaW5kdXN0cmlhbC1hY3Rpb24v0gFyaHR0cHM6Ly93d3cudmFuZ3VhcmRuZ3IuY29tLzIwMjAvMDUvZGVzcGl0ZS1lbC1ydWZhaXMtdGhyZWF0LWthZHVuYS1oZWFsdGgtd29ya2Vycy1jb21tZW5jZS1pbmR1c3RyaWFsLWFjdGlvbi9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Eeva Hakoranta Joins InterDigital as Chief Licensing Officer,2020-06-03 00:00:00,https://news.google.com/./articles/CBMihAFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAyMC8wNi8wMy8yMDQyOTA4LzAvZW4vRWV2YS1IYWtvcmFudGEtSm9pbnMtSW50ZXJEaWdpdGFsLWFzLUNoaWVmLUxpY2Vuc2luZy1PZmZpY2VyLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Stephen J. Akerley Joins InterDigital as Vice President, Litigation",2020-06-08 00:00:00,https://news.google.com/./articles/CBMiiQFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAyMC8wNi8wOC8yMDQ0OTExLzAvZW4vU3RlcGhlbi1KLUFrZXJsZXktSm9pbnMtSW50ZXJEaWdpdGFsLWFzLVZpY2UtUHJlc2lkZW50LUxpdGlnYXRpb24uaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Trump on UK's Huawei ban: 'I did this myself',2020-07-15 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvdHJ1bXAtb24tdWtzLWh1YXdlaS1iYW46LWktZGlkLXRoaXMtbXlzZWxmLTIwMjAtMDctMTUtMNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Ralph Lauren's (RL) Q1 Earnings and Sales Miss Estimates,2020-08-04 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvcmFscGgtbGF1cmVucy1ybC1xMS1lYXJuaW5ncy1hbmQtc2FsZXMtbWlzcy1lc3RpbWF0ZXMtMjAyMC0wOC0wNNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Brainy Beauty: Can Electrolytes Really Hydrate Your Skin?,2020-08-08 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LmhlYWx0aGxpbmUuY29tL2hlYWx0aC9iZWF1dHktc2tpbi1jYXJlL2VsZWN0cm9seXRlcy1mb3IteW91ci1za2luLXRoZS1mYWN0cy1iZWhpbmQtdGhlLWJlYXV0eS1oeXBl0gEA?hl=en-US&gl=US&ceid=US%3Aen
Pixar reveals never-before-seen Buzz Lightyear sketches to celebrate launch of Pixar Fest,2020-08-06 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vY2EubW92aWVzLnlhaG9vLmNvbS9idXp6LWxpZ2h0eWVhci1za2V0Y2hlcy1waXhhci1mZXN0LTEwMDcwNTc3Mi5odG1s0gFVaHR0cHM6Ly9jYS5tb3ZpZXMueWFob28uY29tL2FtcGh0bWwvYnV6ei1saWdodHllYXItc2tldGNoZXMtcGl4YXItZmVzdC0xMDA3MDU3NzIuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Earnings Preview: Chewy (CHWY) Q2 Earnings Expected to Decline,2020-09-03 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvZWFybmluZ3MtcHJldmlldzotY2hld3ktY2h3eS1xMi1lYXJuaW5ncy1leHBlY3RlZC10by1kZWNsaW5lLTIwMjAtMDktMDPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Biden's Plan Could Leave You Paying a Higher Tax on an Inheritance,2020-09-13 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvYmlkZW5zLXBsYW4tY291bGQtbGVhdmUteW91LXBheWluZy1hLWhpZ2hlci10YXgtb24tYW4taW5oZXJpdGFuY2UtMjAyMC0wOS0xM9IBAA?hl=en-US&gl=US&ceid=US%3Aen
China suspends barley imports from Australia's largest grain exporter,2020-09-01 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvY2hpbmEtc3VzcGVuZHMtYmFybGV5LWltcG9ydHMtZnJvbS1hdXN0cmFsaWFzLWxhcmdlc3QtZ3JhaW4tZXhwb3J0ZXItMjAyMC0wOS0wMdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Is Sunworks the Penny Stock of Your Dreams?,2020-10-28 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvaXMtc3Vud29ya3MtdGhlLXBlbm55LXN0b2NrLW9mLXlvdXItZHJlYW1zLTIwMjAtMTAtMjjSAQA?hl=en-US&gl=US&ceid=US%3Aen
Covid cases climb to 140,2020-11-26 00:00:00,https://news.google.com/./articles/CBMiNWh0dHBzOi8vYW50aWd1YW9ic2VydmVyLmNvbS9jb3ZpZC1jYXNlcy1jbGltYi10by0xNDAv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Rule Of 40 For SaaS Companies - Part IV - 3 Ways To Beat The ...,2020-11-22 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzOTA5MjgtcnVsZS1vZi00MC1mb3Itc2Fhcy1jb21wYW5pZXMtcGFydC1pdi0zLXdheXMtdG8tYmVhdC1ydWxlLW9mLTQw0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Rule Of 40 For SaaS Companies - Part 3, Valuation",2020-11-02 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzODQyOTEtcnVsZS1vZi00MC1mb3Itc2Fhcy1jb21wYW5pZXMtcGFydC0zLXZhbHVhdGlvbtIBAA?hl=en-US&gl=US&ceid=US%3Aen
Video Will Grow to 82% of Internet Traffic by 2022: InterDigital ...,2020-12-03 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vd3d3LnN0cmVhbWluZ21lZGlhLmNvbS9BcnRpY2xlcy9SZWFkQXJ0aWNsZS5hc3B4P0FydGljbGVJRD0xNDQxNzfSAQA?hl=en-US&gl=US&ceid=US%3Aen
"The Rule Of 40 For SaaS Companies, Part 5 - Introducing The 'R40 ...",2020-12-13 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzOTQ0ODMtcnVsZS1vZi00MC1mb3Itc2Fhcy1jb21wYW5pZXMtcGFydC01LWludHJvZHVjaW5nLXI0MC1zY29yZWNhcmQtdG8tYmVhdC1ydWxlLW9mLTQw0gEA?hl=en-US&gl=US&ceid=US%3Aen
Can We Benefit from Zombies? (Dead Probiotics),2020-12-01 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3Lm51dHJhaW5ncmVkaWVudHMtdXNhLmNvbS9OZXdzL1Byb21vdGlvbmFsLUZlYXR1cmVzL0Nhbi1XZS1CZW5lZml0LWZyb20tWm9tYmllcy1EZWFkLVByb2Jpb3RpY3PSAQA?hl=en-US&gl=US&ceid=US%3Aen
