title,datetime,link
Why Apple Stock Soared 86.2% in 2019,2020-01-12 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIwLzAxLzEyL3doeS1hcHBsZS1zdG9jay1zb2FyZWQtODYyLWluLTIwMTkuYXNweNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Kerjaya Prospek bags RM332m contract for KL...,2020-01-21 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vdGhlbWFsYXlzaWFucmVzZXJ2ZS5jb20vMjAyMC8wMS8yMS9rZXJqYXlhLXByb3NwZWstYmFncy1ybTMzMm0tY29udHJhY3QtZm9yLWtsLXByb2plY3Qv0gFjaHR0cHM6Ly90aGVtYWxheXNpYW5yZXNlcnZlLmNvbS8yMDIwLzAxLzIxL2tlcmpheWEtcHJvc3Blay1iYWdzLXJtMzMybS1jb250cmFjdC1mb3Ita2wtcHJvamVjdC9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
"""Sonic the Hedgehog"" Rewards Paramount's Handling of Audience ...",2020-02-16 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvc29uaWMtdGhlLWhlZGdlaG9nLXJld2FyZHMtcGFyYW1vdW50cy1oYW5kbGluZy1vZi1hdWRpZW5jZS1jb21wbGFpbnRzLXdpdGgtYS0lMjQ1Ny1taWxsaW9u0gEA?hl=en-US&gl=US&ceid=US%3Aen
McGrath RentCorp: A Trustworthy Capital Allocation Plan (NASDAQ ...,2020-03-02 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMjg3MDctbWNncmF0aC1yZW50Y29ycC10cnVzdHdvcnRoeS1jYXBpdGFsLWFsbG9jYXRpb24tcGxhbtIBAA?hl=en-US&gl=US&ceid=US%3Aen
Off-Market Trades: Advanced Packaging Technology (M) Bhd ...,2020-03-26 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LnRoZWVkZ2VtYXJrZXRzLmNvbS9hcnRpY2xlL29mZm1hcmtldC10cmFkZXMtYWR2YW5jZWQtcGFja2FnaW5nLXRlY2hub2xvZ3ktbS1iaGQtYm9ybmVvLW9pbC1iaGQtbWFsYXlzaWFuLWdlbm9taWNz0gEA?hl=en-US&gl=US&ceid=US%3Aen
No Malaysians affected in Manila hostage incident: Malaysian...,2020-03-02 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vdGhlbWFsYXlzaWFucmVzZXJ2ZS5jb20vMjAyMC8wMy8wMi9uby1tYWxheXNpYW5zLWFmZmVjdGVkLWluLW1hbmlsYS1ob3N0YWdlLWluY2lkZW50LW1hbGF5c2lhbi1lbWJhc3N5L9IBc2h0dHBzOi8vdGhlbWFsYXlzaWFucmVzZXJ2ZS5jb20vMjAyMC8wMy8wMi9uby1tYWxheXNpYW5zLWFmZmVjdGVkLWluLW1hbmlsYS1ob3N0YWdlLWluY2lkZW50LW1hbGF5c2lhbi1lbWJhc3N5L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
A hunt for any storage space turns urgent as oil glut grows,2020-04-20 00:00:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtZ2xvYmFsLW9pbC1zdG9yYWdlLWZyYWNraW5nLWlkVVNLQk4yMjMwSTPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Khazanah exits MGRC as new major shareholder comes in,2020-05-15 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LnRoZWVkZ2VtYXJrZXRzLmNvbS9hcnRpY2xlL2toYXphbmFoLWV4aXRzLW1ncmMtbmV3LW1ham9yLXNoYXJlaG9sZGVyLWNvbWVz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Malaysia's Khazanah sells shares of genetics screening MGRC,2020-05-21 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vYXNpYS5uaWtrZWkuY29tL0J1c2luZXNzL1N0YXJ0dXBzL01hbGF5c2lhLXMtS2hhemFuYWgtc2VsbHMtc2hhcmVzLW9mLWdlbmV0aWNzLXNjcmVlbmluZy1NR1JD0gEA?hl=en-US&gl=US&ceid=US%3Aen
"If You Liked the Straddle, You Should also Consider a Strangle.",2020-05-28 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvaWYteW91LWxpa2VkLXRoZS1zdHJhZGRsZS15b3Utc2hvdWxkLWFsc28tY29uc2lkZXItYS1zdHJhbmdsZS4tMjAyMC0wNS0yONIBAA?hl=en-US&gl=US&ceid=US%3Aen
