title,datetime,link
Highway 82 closed due to snow,2020-01-10 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LnJ1aWRvc29uZXdzLmNvbS9zdG9yeS9uZXdzL2xvY2FsL2NvbW11bml0eS8yMDIwLzAxLzEwL3Nub3dmYWxsLWJsYW5rZXRzLXBhcnRzLXNvdXRoZWFzdC1ubS80NDMwMDQ4MDAyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
SocialMiami Welcomes: Marile Lopez,2020-01-21 00:00:00,https://news.google.com/./articles/CBMiOmh0dHBzOi8vc29jaWFsbWlhbWkuY29tL3NvY2lhbG1pYW1pLXdlbGNvbWVzLW1hcmlsZS1sb3Blei_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Susan B. Anthony: Suffragist, Abolitionist and Renegade",2020-01-30 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vaGlzdG9yeS5ob3dzdHVmZndvcmtzLmNvbS9oaXN0b3JpY2FsLWZpZ3VyZXMvc3VzYW4tYi1hbnRob255Lmh0bdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Communication Services Sector: Is Walt Disney Co (DIS) A Winner?,2020-01-24 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmludmVzdG9yc29ic2VydmVyLmNvbS9uZXdzL3N0b2NrLXVwZGF0ZS9jb21tdW5pY2F0aW9uLXNlcnZpY2VzLXNlY3Rvci1pcy13YWx0LWRpc25leS1jby1kaXMtYS13aW5uZXLSAXRodHRwczovL3d3dy5pbnZlc3RvcnNvYnNlcnZlci5jb20vbmV3cy9zdG9jay11cGRhdGUvYW1wL2NvbW11bmljYXRpb24tc2VydmljZXMtc2VjdG9yLWlzLXdhbHQtZGlzbmV5LWNvLWRpcy1hLXdpbm5lcg?hl=en-US&gl=US&ceid=US%3Aen
Singapore sees piracy spike,2020-01-17 00:00:00,https://news.google.com/./articles/CBMiQGh0dHBzOi8vd3d3LnBvcnR0ZWNobm9sb2d5Lm9yZy9uZXdzL3NpbmdhcG9yZS1zZWVzLXBpcmFjeS1zcGlrZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Ocean Infinity to explore value of ocean data,2020-01-13 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LnBvcnR0ZWNobm9sb2d5Lm9yZy9uZXdzL29jZWFuLWluZmluaXR5LXRvLWV4cGxvcmUtdmFsdWUtb2Ytb2NlYW4tZGF0YS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
A.P. Moller Capital to invest in West African port infrastructure,2020-01-29 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LnBvcnR0ZWNobm9sb2d5Lm9yZy9uZXdzL2EtcC1tb2xsZXItY2FwaXRhbC10by1pbnZlc3QtaW4td2VzdC1hZnJpY2FuLXBvcnQtaW5mcmFzdHJ1Y3R1cmUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Tremor International Acquires News Corp's Unruly,2020-01-06 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvdHJlbW9yLWludGVybmF0aW9uYWwtYWNxdWlyZXMtbmV3cy1jb3Jwcy11bnJ1bHktMzAwOTgxNTEwLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
News Corp. Launches Knewz Platform as Google Search Alternative,2020-01-29 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIwLTAxLTI5L25ld3MtY29ycC1sYXVuY2hlcy1rbmV3ei1wbGF0Zm9ybS1hcy1nb29nbGUtc2VhcmNoLWFsdGVybmF0aXZl0gEA?hl=en-US&gl=US&ceid=US%3Aen
James Murdoch slams Fox and News Corp over climate-change coverage,2020-01-14 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9qYW1lcy1tdXJkb2NoLXNsYW1zLWZveC1hbmQtbmV3cy1jb3JwLW92ZXItY2xpbWF0ZS1jaGFuZ2UtY292ZXJhZ2UtMjAyMC0wMS0xNNIBc2h0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9hbXAvc3RvcnkvamFtZXMtbXVyZG9jaC1zbGFtcy1mb3gtYW5kLW5ld3MtY29ycC1vdmVyLWNsaW1hdGUtY2hhbmdlLWNvdmVyYWdlLTIwMjAtMDEtMTQ?hl=en-US&gl=US&ceid=US%3Aen
The Battle for the 19th Amendment and Women's Right to Vote,2020-01-10 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vaGlzdG9yeS5ob3dzdHVmZndvcmtzLmNvbS9hbWVyaWNhbi1oaXN0b3J5LzE5dGgtYW1lbmRtZW50Lmh0bdIBAA?hl=en-US&gl=US&ceid=US%3Aen
"David Doctorow Named CEO Of Move, Inc.",2020-01-08 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvZGF2aWQtZG9jdG9yb3ctbmFtZWQtY2VvLW9mLW1vdmUtaW5jLTMwMDk4MzkxNi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Jungle Island glides into 2020 with outdoor ice skating rink,2020-01-14 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vY29tbXVuaXR5bmV3c3BhcGVycy5jb20vYmlzY2F5bmUtYmF5L2p1bmdsZS1pc2xhbmQtZ2xpZGVzLWludG8tMjAyMC13aXRoLW91dGRvb3ItaWNlLXNrYXRpbmctcmluay_SAQA?hl=en-US&gl=US&ceid=US%3Aen
