title,datetime,link
Faculty Focus: Dr. Valerie De La Torre - GCU,2020-01-15 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8vbmV3cy5nY3UuZWR1L2djdS1uZXdzL2ZhY3VsdHktZm9jdXMtZHItdmFsZXJpZS1kZS1sYS10b3JyZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
9 Business Development Companies to Buy for Growth,2020-01-16 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy85LWJ1c2luZXNzLWRldmVsb3BtZW50LWNvbXBhbmllcy1idXktMjExMzIxNjYzLmh0bWzSAVpodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy85LWJ1c2luZXNzLWRldmVsb3BtZW50LWNvbXBhbmllcy1idXktMjExMzIxNjYzLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
How Premium BDCs Accrete Book Value,2020-01-27 00:00:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMTkyNjItaG93LXByZW1pdW0tYmRjcy1hY2NyZXRlLWJvb2stdmFsdWXSAQA?hl=en-US&gl=US&ceid=US%3Aen
The REIT Paradox: Cheap REITs Stay Cheap,2020-01-07 00:00:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMTU1MjUtcmVpdC1wYXJhZG94LWNoZWFwLXJlaXRzLXN0YXktY2hlYXDSAQA?hl=en-US&gl=US&ceid=US%3Aen
Hair Club for Men founder -- and client - Sy Sperling dies,2020-02-20 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9oYWlyLWNsdWItbWVuLWZvdW5kZXItY2xpZW50LTE1MzM0Nzg2My5odG1s0gFSaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvaGFpci1jbHViLW1lbi1mb3VuZGVyLWNsaWVudC0xNTMzNDc4NjMuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Refuel Agency Moves Corporate Headquarters to Santa Barbara,2020-02-11 00:00:00,https://news.google.com/./articles/CBMic2h0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvcmVmdWVsLWFnZW5jeS1tb3Zlcy1jb3Jwb3JhdGUtaGVhZHF1YXJ0ZXJzLXRvLXNhbnRhLWJhcmJhcmEtMzAxMDAyMzYyLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
"7 Top CEOs Participating in Buybacks Now: KMI, IMAX, PLNT",2020-03-19 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vaW52ZXN0b3JwbGFjZS5jb20vMjAyMC8wMy83LWNlb3MtYnV5YmFja3MtYnV5aW5nLXRoZWlyLWJlYXRlbi1kb3duLXN0b2Nrcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Prospect Capital amends dividend reinvestment plan (NASDAQ ...,2020-04-17 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9uZXdzLzM1NjE4MTEtcHJvc3BlY3QtY2FwaXRhbC1hbWVuZHMtZGl2aWRlbmQtcmVpbnZlc3RtZW50LXBsYW7SAQA?hl=en-US&gl=US&ceid=US%3Aen
Deloitte appoints Daniel Kwadwo Owusu as Country Managing Partner,2020-04-21 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LnB1bHNlLmNvbS5naC9iaS9zdHJhdGVneS9kZWxvaXR0ZS1hcHBvaW50cy1kYW5pZWwta3dhZHdvLW93dXN1LWFzLWNvdW50cnktbWFuYWdpbmctcGFydG5lci9kYjQ1a2sy0gFyaHR0cHM6Ly93d3cucHVsc2UuY29tLmdoL2JpL3N0cmF0ZWd5L2RlbG9pdHRlLWFwcG9pbnRzLWRhbmllbC1rd2Fkd28tb3d1c3UtYXMtY291bnRyeS1tYW5hZ2luZy1wYXJ0bmVyL2RiNDVrazIuYW1w?hl=en-US&gl=US&ceid=US%3Aen
National Beverage Corp. (FIZZ): Are Hedge Funds Right About This Stock?,2020-04-06 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9uYXRpb25hbC1iZXZlcmFnZS1jb3JwLWZpenotaGVkZ2UtMDE1NDEzOTY0Lmh0bWzSAVdodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9uYXRpb25hbC1iZXZlcmFnZS1jb3JwLWZpenotaGVkZ2UtMDE1NDEzOTY0Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
