title,datetime,link
TTD launches scheme to provide one free ‘laddu’ for every devotee,2020-01-20 00:00:00,https://news.google.com/./articles/CBMifmh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9uZXdzL25hdGlvbmFsL2FuZGhyYS1wcmFkZXNoL3R0ZC1sYXVuY2hlcy1vbmUtZnJlZS1sYWRkdS1zY2hlbWUtZm9yLWV2ZXJ5LWRldm90ZWUvYXJ0aWNsZTMwNjA4MjIwLmVjZdIBgwFodHRwczovL3d3dy50aGVoaW5kdS5jb20vbmV3cy9uYXRpb25hbC9hbmRocmEtcHJhZGVzaC90dGQtbGF1bmNoZXMtb25lLWZyZWUtbGFkZHUtc2NoZW1lLWZvci1ldmVyeS1kZXZvdGVlL2FydGljbGUzMDYwODIyMC5lY2UvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
The Trade Desk: Don't Chase The Stock Here (NASDAQ:TTD),2020-01-13 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMTY0MTUtdHJhZGUtZGVzay1kb250LWNoYXNlLXN0b2Nr0gEA?hl=en-US&gl=US&ceid=US%3Aen
The Trade Desk: Its Strengths And Competitors (NASDAQ:TTD),2020-01-13 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMTY0OTEtdHJhZGUtZGVzay1zdHJlbmd0aHMtYW5kLWNvbXBldGl0b3Jz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Prudhvi Raj resigns as TTD's SVBC chairman after audio tape surfaces,2020-01-13 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LnRoZW5ld3NtaW51dGUuY29tL2FydGljbGUvcHJ1ZGh2aS1yYWotcmVzaWducy10dGRzLXN2YmMtY2hhaXJtYW4tYWZ0ZXItYXVkaW8tdGFwZS1zdXJmYWNlcy0xMTU5NzPSAXFodHRwczovL3d3dy50aGVuZXdzbWludXRlLmNvbS9hcnRpY2xlL3BydWRodmktcmFqLXJlc2lnbnMtdHRkcy1zdmJjLWNoYWlybWFuLWFmdGVyLWF1ZGlvLXRhcGUtc3VyZmFjZXMtMTE1OTczP2FtcA?hl=en-US&gl=US&ceid=US%3Aen
Tirupati Lord Venkateswara earns Rs 3.18 crore per day,2020-01-31 00:00:00,https://news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LmRlY2NhbmNocm9uaWNsZS5jb20vbmF0aW9uL2N1cnJlbnQtYWZmYWlycy8zMTAxMjAvdGlydXBhdGktbG9yZC12ZW5rYXRlc3dhcmEtZWFybnMtcnMtMzE4LWNyb3JlLXBlci1kYXkuaHRtbNIBfGh0dHBzOi8vd3d3LmRlY2NhbmNocm9uaWNsZS5jb20vYW1wL25hdGlvbi9jdXJyZW50LWFmZmFpcnMvMzEwMTIwL3RpcnVwYXRpLWxvcmQtdmVua2F0ZXN3YXJhLWVhcm5zLXJzLTMxOC1jcm9yZS1wZXItZGF5Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
All devotees visiting Tirumala to get one free 'Tirupati laddu': TTD rolls out scheme,2020-01-20 00:00:00,https://news.google.com/./articles/CBMifGh0dHBzOi8vd3d3LnRoZW5ld3NtaW51dGUuY29tL2FydGljbGUvYWxsLWRldm90ZWVzLXZpc2l0aW5nLXRpcnVtYWxhLWdldC1vbmUtZnJlZS10aXJ1cGF0aS1sYWRkdS10dGQtcm9sbHMtb3V0LXNjaGVtZS0xMTY0MjHSAYABaHR0cHM6Ly93d3cudGhlbmV3c21pbnV0ZS5jb20vYXJ0aWNsZS9hbGwtZGV2b3RlZXMtdmlzaXRpbmctdGlydW1hbGEtZ2V0LW9uZS1mcmVlLXRpcnVwYXRpLWxhZGR1LXR0ZC1yb2xscy1vdXQtc2NoZW1lLTExNjQyMT9hbXA?hl=en-US&gl=US&ceid=US%3Aen
Vaikunta Dwaram row: TTD to hold emergency trust board meet today,2020-01-05 00:00:00,https://news.google.com/./articles/CBMikAFodHRwczovL3d3dy5uZXdpbmRpYW5leHByZXNzLmNvbS9zdGF0ZXMvYW5kaHJhLXByYWRlc2gvMjAyMC9qYW4vMDUvdmFpa3VudGEtZHdhcmFtLXJvdy10dGQtdG8taG9sZC1lbWVyZ2VuY3ktdHJ1c3QtYm9hcmQtbWVldC10b2RheS0yMDg1MjkwLmh0bWzSAY8BaHR0cHM6Ly93d3cubmV3aW5kaWFuZXhwcmVzcy5jb20vc3RhdGVzL2FuZGhyYS1wcmFkZXNoLzIwMjAvamFuLzA1L3ZhaWt1bnRhLWR3YXJhbS1yb3ctdHRkLXRvLWhvbGQtZW1lcmdlbmN5LXRydXN0LWJvYXJkLW1lZXQtdG9kYXktMjA4NTI5MC5hbXA?hl=en-US&gl=US&ceid=US%3Aen
"Tirumala to wear new look, get more spacious",2020-01-31 00:00:00,https://news.google.com/./articles/CBMie2h0dHBzOi8vd3d3Lm5ld2luZGlhbmV4cHJlc3MuY29tL3N0YXRlcy9hbmRocmEtcHJhZGVzaC8yMDIwL2phbi8zMS90aXJ1bWFsYS10by13ZWFyLW5ldy1sb29rLWdldC1tb3JlLXNwYWNpb3VzLTIwOTcwMzguaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Alipiri toll plaza all set to get FASTag,2020-01-08 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9uZXdzL25hdGlvbmFsL2FuZGhyYS1wcmFkZXNoL2FsaXBpcmktdG9sbC1wbGF6YS1hbGwtc2V0LXRvLWdldC1mYXN0YWcvYXJ0aWNsZTMwNTE1NzQxLmVjZdIBd2h0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9uZXdzL25hdGlvbmFsL2FuZGhyYS1wcmFkZXNoL2FsaXBpcmktdG9sbC1wbGF6YS1hbGwtc2V0LXRvLWdldC1mYXN0YWcvYXJ0aWNsZTMwNTE1NzQxLmVjZS9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Harish Rao ignored by YSRCP leaders and TTD officials!,2020-01-06 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3LnRlbHVndTM2MC5jb20vaGFyaXNoLXJhby1pZ25vcmVkLWJ5LXlzcmNwLWxlYWRlcnMtYW5kLXR0ZC1vZmZpY2lhbHMv0gFUaHR0cHM6Ly93d3cudGVsdWd1MzYwLmNvbS9oYXJpc2gtcmFvLWlnbm9yZWQtYnkteXNyY3AtbGVhZGVycy1hbmQtdHRkLW9mZmljaWFscy9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
