title,datetime,link
JOYY's Likee Is Creeping up on ByteDance's TikTok,2020-01-23 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIwLzAxLzIzL2pveXlzLWxpa2VlLWlzLWNyZWVwaW5nLXVwLW9uLWJ5dGVkYW5jZXMtdGlrdG9rLmFzcHjSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Yuan Yuan Tan goes on and on, extending her Ballet record for longevity",2020-01-08 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vZGF0ZWJvb2suc2ZjaHJvbmljbGUuY29tL2RhbmNlL3l1YW4teXVhbi10YW4tZ29lcy1vbi1hbmQtb24tZXh0ZW5kaW5nLWhlci1iYWxsZXQtcmVjb3JkLWZvci1sb25nZXZpdHnSAXFodHRwczovL2RhdGVib29rLnNmY2hyb25pY2xlLmNvbS9kYW5jZS95dWFuLXl1YW4tdGFuLWdvZXMtb24tYW5kLW9uLWV4dGVuZGluZy1oZXItYmFsbGV0LXJlY29yZC1mb3ItbG9uZ2V2aXR5L2FtcA?hl=en-US&gl=US&ceid=US%3Aen
The Second Call After 911 Was to Chaverim of Rockland,2020-01-20 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vY29sbGl2ZS5jb20vdGhlLXNlY29uZC1jYWxsLWFmdGVyLTkxMS13YXMtdG8tY2hhdmVyaW0tb2Ytcm9ja2xhbmQv0gFOaHR0cHM6Ly9jb2xsaXZlLmNvbS90aGUtc2Vjb25kLWNhbGwtYWZ0ZXItOTExLXdhcy10by1jaGF2ZXJpbS1vZi1yb2NrbGFuZC9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
"Nazmul Islam of Avijatrik on Entrepreneurship, Building A New Kind ...",2020-01-29 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vZnV0dXJlc3RhcnR1cC5jb20vMjAyMC8wMS8yOS9uYXptdWwtaXNsYW0tb2YtYXZpamF0cmlrL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Georgia State's Perimeter College Ranks Among Nation's Best for ...,2020-01-16 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vbmV3cy5nc3UuZWR1LzIwMjAvMDEvMTYvZ2VvcmdpYS1zdGF0ZXMtcGVyaW1ldGVyLWNvbGxlZ2UtcmFua3MtYW1vbmctbmF0aW9ucy1iZXN0LWZvci1zdHVkZW50LXN1Y2Nlc3Mv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Samsung looks to 5G to boost its business in 2020,2020-01-30 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjAvMDEvMzAvc2Ftc3VuZy1sb29rcy10by01Zy10by1ib29zdC1pdHMtYnVzaW5lc3MtaW4tMjAyMC5odG1s0gFaaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjAvMDEvMzAvc2Ftc3VuZy1sb29rcy10by01Zy10by1ib29zdC1pdHMtYnVzaW5lc3MtaW4tMjAyMC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Number of newly-registered companies in Kosovo rises 6.9% y/y in Q4,2020-01-30 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vc2VlbmV3cy5jb20vbmV3cy9udW1iZXItb2YtbmV3bHktcmVnaXN0ZXJlZC1jb21wYW5pZXMtaW4ta29zb3ZvLXJpc2VzLTY5LXl5LWluLXE0LTY4NTUwMNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Is the Y2K bug alive after all?,2020-01-10 00:00:00,https://news.google.com/./articles/CBMiS2h0dHBzOi8vbmFrZWRzZWN1cml0eS5zb3Bob3MuY29tLzIwMjAvMDEvMTAvaXMtdGhlLXkyay1idWctYWxpdmUtYWZ0ZXItYWxsL9IBT2h0dHBzOi8vbmFrZWRzZWN1cml0eS5zb3Bob3MuY29tLzIwMjAvMDEvMTAvaXMtdGhlLXkyay1idWctYWxpdmUtYWZ0ZXItYWxsL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
MCT oil is the latest weight loss aid! Here is all you need to know about it,2020-01-29 00:00:00,https://news.google.com/./articles/CBMirQFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9saWZlLXN0eWxlL2hlYWx0aC1maXRuZXNzL3dlaWdodC1sb3NzL21jdC1vaWwtaXMtdGhlLWxhdGVzdC13ZWlnaHQtbG9zcy1haWQtaGVyZS1pcy1hbGwteW91LW5lZWQtdG8ta25vdy1hYm91dC1pdC9waG90b3N0b3J5LzczNzAwNDU5LmNtc9IBqgFodHRwczovL20udGltZXNvZmluZGlhLmNvbS9saWZlLXN0eWxlL2hlYWx0aC1maXRuZXNzL3dlaWdodC1sb3NzL21jdC1vaWwtaXMtdGhlLWxhdGVzdC13ZWlnaHQtbG9zcy1haWQtaGVyZS1pcy1hbGwteW91LW5lZWQtdG8ta25vdy1hYm91dC1pdC9hbXBfZXRwaG90b3N0b3J5LzczNzAwNDU5LmNtcw?hl=en-US&gl=US&ceid=US%3Aen
Foreign tourist arrivals to Montenegro rise 28.8% y/y in December,2020-01-29 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vc2VlbmV3cy5jb20vbmV3cy9mb3JlaWduLXRvdXJpc3QtYXJyaXZhbHMtdG8tbW9udGVuZWdyby1yaXNlLTI4OC15eS1pbi1kZWNlbWJlci02ODUyMzfSAQA?hl=en-US&gl=US&ceid=US%3Aen
